Mva.Gr.lag,Mva. beløp:,Total,Bestillingsnr.,Fakturanr.,Leverandør:,KID
1944.69,486.17,2430.86,Order 34224,351708,Brødrene Dahl A/S - 31004247 Ordrenr: 1018133188,01194003517083
5253.69,1313.42,6567.11,Order 34227,352743,Heidenreich - 7827034 Ordrenr:,01194003527439
